"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2023","0.074573","0.077387","0.077498","0.073103","1.15B","-3.64%"
"Mar 23, 2023","0.077387","0.073843","0.078919","0.072986","2.18B","4.79%"
"Mar 22, 2023","0.073851","0.076685","0.077821","0.071648","2.53B","-3.70%"
"Mar 21, 2023","0.076685","0.071342","0.077779","0.070404","1.97B","7.49%"
"Mar 20, 2023","0.071345","0.074541","0.075558","0.070528","1.37B","-4.19%"
"Mar 19, 2023","0.074462","0.072959","0.076498","0.072959","1.04B","2.06%"
"Mar 18, 2023","0.072959","0.076443","0.078775","0.072531","1.91B","-4.53%"
"Mar 17, 2023","0.076421","0.072588","0.077228","0.071528","1.66B","5.31%"
"Mar 16, 2023","0.072567","0.069681","0.074004","0.068919","1.25B","4.14%"
"Mar 15, 2023","0.069682","0.074640","0.075918","0.067488","1.91B","-6.67%"
"Mar 14, 2023","0.074665","0.072862","0.077550","0.071217","2.05B","2.47%"
"Mar 13, 2023","0.072862","0.070603","0.073532","0.068274","1.75B","3.22%"
"Mar 12, 2023","0.070587","0.066185","0.070816","0.065486","1.25B","6.65%"
"Mar 11, 2023","0.066185","0.065794","0.068312","0.063401","1.51B","0.59%"
"Mar 10, 2023","0.065794","0.065995","0.066144","0.062686","1.79B","-0.27%"
"Mar 09, 2023","0.065974","0.071104","0.072269","0.064118","2.23B","-7.24%"
"Mar 08, 2023","0.071120","0.074030","0.074305","0.070308","1.09B","-3.93%"
"Mar 07, 2023","0.074029","0.074790","0.075960","0.072439","1.00B","-1.01%"
"Mar 06, 2023","0.074783","0.074756","0.075115","0.073332","806.82M","0.04%"
"Mar 05, 2023","0.074756","0.074657","0.076039","0.074301","619.49M","0.13%"
"Mar 04, 2023","0.074660","0.076838","0.077212","0.072659","734.67M","-2.80%"
"Mar 03, 2023","0.076811","0.080552","0.080607","0.073579","1.84B","-4.63%"
"Mar 02, 2023","0.080540","0.081944","0.082257","0.079635","568.70M","-1.71%"
"Mar 01, 2023","0.081945","0.080809","0.082821","0.080298","621.10M","1.43%"
"Feb 28, 2023","0.080792","0.081354","0.083037","0.079929","1.11B","-0.66%"
"Feb 27, 2023","0.081333","0.082214","0.082256","0.079979","751.01M","-1.08%"
"Feb 26, 2023","0.082219","0.080742","0.082567","0.080434","583.64M","1.83%"
"Feb 25, 2023","0.080742","0.080877","0.081993","0.078583","926.68M","-0.16%"
"Feb 24, 2023","0.080875","0.084245","0.084970","0.079390","1.31B","-4.01%"
"Feb 23, 2023","0.084254","0.085463","0.086392","0.083568","960.36M","-1.41%"
"Feb 22, 2023","0.085463","0.085457","0.087578","0.082890","2.30B","0.01%"
"Feb 21, 2023","0.085457","0.088290","0.088759","0.084573","1.32B","-3.21%"
"Feb 20, 2023","0.088290","0.087084","0.088669","0.085352","1.17B","1.40%"
"Feb 19, 2023","0.087069","0.088822","0.089859","0.086073","1.29B","-1.97%"
"Feb 18, 2023","0.088822","0.087703","0.090356","0.086793","978.84M","1.29%"
"Feb 17, 2023","0.087689","0.084901","0.088484","0.084393","1.10B","3.21%"
